id,document,label
16194085,My cock's mall ,1
16194084,마지막 죽기 일주일전 앙조위가 스피커뒤에서 마약을 만지다가 유덕화가 손님으로 온장면은 뭘 암시하나요? ,1
16194083,제발 옥상문좀 열고다녀라ㅋㅋㅋ ,1
16194082,결국은 각자의 삶. 운명이라는 게 정말 있을까? ,1
16194081,재미는 없는듯ㅎㅎ후반부는 볼만 ,1
16194080,"그 무엇을 위해 우주 끝까지 가본 열정도 이해되고, 그를 찾기 위해 우주 끝까지 간 사랑도 이해된다. ",1
16194079,"이미 수년이 지난 후 지만, 그러므로 아닌 척하지만, 잊어버린 척하지만, 나는 여전히 그때의 불안함과 서글픔을 지니고 있다는 것을 알게 되었다. ",1
16194078,응응 지영아 0점이 없다 ,0
16194077,연기력이 좋고 작품성이 있는데 지루 루즈한감이 있음 ,0
16194076,그렇게 자극되는것 기억에 남는것도 없고 ,0
16194075,상처받기 두려워 망설인 시간 ,1
16194074,흔해 빠진 서민 주택 봉하 아방궁.누구나 논두렁에 다 버리는 흔한 쓰레기 피아제.. 우리가 노무현이다! ,0
16194073,알바 OO다 진짜 영화판 막장이다 ,0
16194072,남주무매력에노래는 완곡이 하나도 없음고구마 남주 여주의 스토리 ,1
16194071,최악. 완전 최악. 매력이 단 하나도 없는 영화 ,0
16194070,"누가봐도 재미없는거 재밌게 봤다 말하면, 작품성좋고수준높은척 역겨움 ",0
16194069,초 중반에 루즈하다가 막판 재밌음. 이 오래전 효과적인 연출 사실같은 죠스는 박수. ,0
16194068,욘두의 길고 긴 촉수화살 ,1
16194067,고딩때 극장에서보고 10년넘게 지나서 직장인돼서 또봤는데 직장인이면 정말 재밌게볼영화한장면 한장면 재밌어요!!! ,1
16194066,즐겁게 봤는데요 너무 평이 안좋아 깜짝 놀랐어요 유쾌한 로맨틱 코미디 보고 온 기분이에요 ,1
16194065,초반부터 조정석 클라이밍 하는데 잘 올라갈거 알지만 완전 리얼한 연기로 정말 손에 땀을 쥐고 보기 시작했습니다!! 진짜 꿀잼~~~ 스트레스도 날라가구여 짜릿짜릿한 영화였습니다~ ,1
16194064,3시간인줄 알았다면 안봣을텐데...1은 단체폭력 2는 언어폭력 쫌 웃김 ,1
16194062,그냥저냥 볼만해요~ 근데 영국사람들 보라고 만든 영화같아요 ㅋㅋ ,1
16194060,신파를 조금더 개연성있게 만들었다는 것말고는 뻔하디 뻔한 전형적인 코미디를 가장한 신파영화 ,0
16194059,댓글알바 너무하는거아녜요?감독님 열심히하시는건좋지만 아직재미는없습니다 없어도너무없어요 그래도화이팅!! ,0
16194058,불면증치료에 최고로 적합합니다 ,0
16194057,지루하고 내용도 허접해요. ,0
16194056,알바가 판친다 적당히좀 하세요 별반개도 아까우니까 ㅡㅡ ,0
16194054,연기 문제가 아니라 음..스토리? ,0
16194053,평점 원래 잘안다는데 이건정말 대실망 ㅠ ,0
16194052,이거 혹시 배우들도 속은거 아닐까? 배우도 스토리가 산으로 갈줄 몰랐는데 대본을 서서히 공개해서 산으로 가는 대본 뒤늦게 알았는데 이미 찍을대로 찍어서 못도망친거지 ,0
16194051,"엔딩크레딧 올라갈때 관객의 절반 이상이 기지개 켜는 신기한 광경 볼 수 있음. 일반 2D로 본 것도 짜증났는데, 아이맥스나 4D로 봤으면 진심 개빡쳤을 듯. ",0
16194050,sf 라니까 스타워즈처럼 액션을 바란건가? 이렇게 완벽한 스토리와 심리 묘사를 해낸 영화를 지루하다고 하는사람들은. 그냥 b급 액션 영화나 챙겨 보시길 ,1
16194049,중간에 보다가 나온적은 아수라이레 처음인듯 ,0
16194048,개독이들 평점테러한건가 ,1
16194047,이거 평안좋다고 한사람들 특징영화관에서 무서워서 빼애액 빼애액 꺄아악 실컷하다가 영화 끝나고나서 뭐야 뭐 별거없네 하는사람들일듯영화보는내내 뒤에서 소리지르던 커플 남자 나올때 여친한테 하는말 아 ㅈㄹ 시시하네 ㅋㅋ ,1
16194046,역시 빵오빠 최고네요 ^^♡ ,1
16194045,볼만한건 마지막 엔딩크레딧 뿐. ,0
